2016-01-01	*** did run ***
2016-01-04	A100 	572	30	3	10	615	610	30
2016-01-04	A125 	84	3	1	10	98	86	13
2016-01-04	A130 	20	0	0	0	20	nop	nop
2016-01-04	A131 	7	0	0	1	8	7	2
2016-01-04	A140 	9	0	0	0	9	nop	nop
2016-01-04	A160 	0	14	0	0	14	nop	nop
2016-01-04	A168 	1	0	0	0	1	nop	nop
2016-01-04	A192 	1	1	0	0	2	2	0
2016-01-04	A208 	76	21	0	0	97	97	0
2016-01-04	A310 	2	0	0	0	2	2	0
2016-01-04	A322 	2	1	0	0	3	3	0
2016-01-04	A332 	169	4	8	0	181	62	3
2016-01-04	A342 	96	12	2	0	110	110	0
2016-01-04	A366 	6	2	0	0	8	8	0
2016-01-04	B400 	127	10	2	0	139	134	6
2016-01-04	B401 	1	0	0	0	1	nop	nop
2016-01-04	B410 	28	1	0	0	29	45	0
2016-01-04	B418 	1	1	0	0	2	2	0
2016-01-04	B420 	32	3	0	0	35	35	0
2016-01-04	B433 	9	0	0	0	9	9	0
2016-01-04	B437 	5	0	0	0	5	5	0
2016-01-04	B452 	13	1	0	0	14	14	0
2016-01-04	B465 	11	1	0	0	12	12	0
2016-01-04	B470 	2	0	0	0	2	0	2
2016-01-04	B478 	3	0	0	0	3	nop	nop
2016-01-04	B488 	2	0	0	0	2	nop	nop
2016-01-04	B490 	16	0	0	0	16	16	0
2016-01-04	B492 	34	1	0	0	35	35	0
2016-01-04	B498 	3	2	0	0	5	5	0
2016-01-04	B500 	77	1	3	0	81	81	0
2016-01-04	B501 	8	0	0	0	8	nop	nop
2016-01-04	B503 	2	0	0	0	2	nop	nop
2016-01-04	B505 	1	0	0	0	1	nop	nop
2016-01-04	B517 	49	1	1	0	51	51	0
2016-01-04	B521 	1	0	0	0	1	1	0
2016-01-04	B540 	1	0	0	0	1	1	0
2016-01-04	B569 	0	7	1	0	8	8	0
2016-01-04	B591 	2	0	0	0	2	2	0
2016-01-04	*** did run ***
2016-01-05	A100 	1821	37	5	1	1864	1815	84
2016-01-05	A125 	273	4	3	3	283	279	13
2016-01-05	A130 	24	0	0	0	24	nop	nop
2016-01-05	A131 	180	0	0	0	180	190	1
2016-01-05	A140 	15	0	0	0	15	nop	nop
2016-01-05	A160 	7	0	0	0	7	nop	nop
2016-01-05	A168 	11	0	0	0	11	nop	nop
2016-01-05	A192 	60	0	0	0	60	60	0
2016-01-05	A208 	117	0	0	0	117	117	0
2016-01-05	A242 	3	0	0	0	3	3	0
2016-01-05	A284 	31	0	0	0	31	nop	nop
2016-01-05	A296 	30	0	0	0	30	30	0
2016-01-05	A300 	49	2	0	0	51	48	3
2016-01-05	A310 	69	0	0	0	69	69	0
2016-01-05	A332 	851	1	3	3	858	235	8
2016-01-05	A342 	1406	6	0	0	1412	1372	43
2016-01-05	A351 	0	4	1	2	7	5	2
2016-01-05	A366 	45	0	0	0	45	41	4
2016-01-05	B400 	4446	6	0	5	4457	4379	249
2016-01-05	B401 	169	0	0	0	169	nop	nop
2016-01-05	B410 	593	1	1	0	595	882	12
2016-01-05	B415 	1	0	0	0	1	1	0
2016-01-05	B418 	67	0	0	0	67	67	0
2016-01-05	B420 	311	0	0	0	311	303	8
2016-01-05	B424 	11	0	0	0	11	11	0
2016-01-05	B433 	200	0	0	4	204	196	8
2016-01-05	B437 	148	0	0	1	149	141	8
2016-01-05	B452 	141	0	0	0	141	139	2
2016-01-05	B465 	174	5	0	0	179	131	48
2016-01-05	B467 	91	0	0	0	91	92	0
2016-01-05	B470 	212	0	0	0	212	204	8
2016-01-05	B476 	114	3	0	0	117	nop	nop
2016-01-05	B478 	0	1	0	0	1	nop	nop
2016-01-05	B488 	4	0	0	0	4	nop	nop
2016-01-05	B490 	370	0	0	0	370	370	0
2016-01-05	B492 	529	0	0	0	529	521	8
2016-01-05	B498 	137	0	0	0	137	137	0
2016-01-05	B500 	2048	3	1	0	2052	1994	59
2016-01-05	B501 	175	0	0	0	175	nop	nop
2016-01-05	B507 	20	0	0	0	20	20	0
2016-01-05	B517 	1257	3	0	3	1263	1237	26
2016-01-05	B521 	7	1	0	0	8	8	0
2016-01-05	B527 	7	0	0	0	7	7	0
2016-01-05	B565 	7	0	0	0	7	7	0
2016-01-05	B569 	15	0	0	0	15	15	0
2016-01-05	B591 	86	1	0	0	87	86	1
2016-01-05	*** did run ***
2016-01-06	A100 	407	35	14	2	458	456	25
2016-01-06	A125 	77	1	5	0	83	88	2
2016-01-06	A130 	4	0	0	0	4	nop	nop
2016-01-06	A131 	18	0	0	0	18	23	0
2016-01-06	A140 	7	0	0	0	7	nop	nop
2016-01-06	A160 	0	0	1	0	1	nop	nop
2016-01-06	A168 	5	0	0	0	5	nop	nop
2016-01-06	A192 	1	0	0	0	1	1	0
2016-01-06	A208 	27	1	0	0	28	28	0
2016-01-06	A230 	24	0	0	0	24	24	0
2016-01-06	A241 	26	0	0	0	26	22	4
2016-01-06	A242 	26	0	0	0	26	25	1
2016-01-06	A243 	34	0	0	0	34	34	0
2016-01-06	A296 	200	7	2	0	209	201	9
2016-01-06	A300 	113	1	0	0	114	112	2
2016-01-06	A310 	3	0	0	0	3	3	0
2016-01-06	A322 	32	0	0	2	34	32	2
2016-01-06	A332 	49	55	0	0	104	42	2
2016-01-06	A342 	140	3	2	1	146	145	1
2016-01-06	A351 	56	1	1	0	58	58	0
2016-01-06	A366 	18	0	0	0	18	18	0
2016-01-06	B400 	351	7	0	0	358	340	18
2016-01-06	B410 	42	2	0	0	44	204	0
2016-01-06	B415 	190	0	0	0	190	174	16
2016-01-06	B418 	0	3	0	0	3	3	0
2016-01-06	B420 	27	8	2	0	37	35	2
2016-01-06	B424 	0	1	0	0	1	1	0
2016-01-06	B433 	17	4	0	0	21	16	5
2016-01-06	B437 	4	0	1	0	5	5	0
2016-01-06	B452 	23	2	0	0	25	23	2
2016-01-06	B465 	35	1	0	0	36	36	0
2016-01-06	B467 	2	0	0	0	2	2	0
2016-01-06	B470 	2	0	0	0	2	2	0
2016-01-06	B476 	2	0	0	0	2	nop	nop
2016-01-06	B478 	64	0	0	0	64	nop	nop
2016-01-06	B488 	1	0	0	0	1	nop	nop
2016-01-06	B490 	12	0	0	0	12	12	0
2016-01-06	B492 	46	3	0	0	49	49	0
2016-01-06	B498 	8	0	0	0	8	8	0
2016-01-06	B500 	206	10	0	0	216	216	0
2016-01-06	B501 	24	0	0	0	24	nop	nop
2016-01-06	B503 	52	2	0	0	54	nop	nop
2016-01-06	B505 	14	0	0	0	14	nop	nop
2016-01-06	B517 	91	6	0	1	98	94	4
2016-01-06	B540 	3	1	0	0	4	4	0
2016-01-06	B554 	6	0	0	0	6	6	0
2016-01-06	B565 	135	0	0	0	135	133	2
2016-01-06	B569 	1	0	0	0	1	1	0
2016-01-06	B591 	10	4	0	0	14	14	0
2016-01-06	*** did run ***
2016-01-07	A100 	359	13	6	3	381	388	15
2016-01-07	A125 	63	2	2	3	70	62	8
2016-01-07	A130 	15	3	0	1	19	nop	nop
2016-01-07	A131 	21	0	0	1	22	22	2
2016-01-07	A140 	6	2	0	0	8	nop	nop
2016-01-07	A168 	2	0	0	0	2	nop	nop
2016-01-07	A192 	16	0	0	0	16	16	0
2016-01-07	A208 	17	4	0	0	21	21	0
2016-01-07	A242 	5	0	0	0	5	7	0
2016-01-07	A243 	9	1	0	0	10	10	0
2016-01-07	A284 	32	1	0	0	33	nop	nop
2016-01-07	A296 	11	0	2	0	13	13	0
2016-01-07	A300 	27	2	0	0	29	29	0
2016-01-07	A310 	20	0	0	0	20	20	0
2016-01-07	A332 	55	10	0	1	66	16	1
2016-01-07	A342 	116	2	0	0	118	119	0
2016-01-07	A351 	21	0	0	0	21	21	0
2016-01-07	A366 	3	0	0	0	3	3	0
2016-01-07	B400 	262	12	5	0	279	240	40
2016-01-07	B401 	1	0	0	0	1	nop	nop
2016-01-07	B410 	43	0	1	0	44	77	2
2016-01-07	B415 	14	0	0	1	15	13	2
2016-01-07	B418 	2	0	0	0	2	2	0
2016-01-07	B420 	41	6	0	0	47	47	0
2016-01-07	B424 	11	0	0	0	11	11	0
2016-01-07	B433 	25	0	0	0	25	25	0
2016-01-07	B437 	9	2	1	0	12	12	0
2016-01-07	B452 	37	1	1	0	39	39	0
2016-01-07	B465 	6	3	0	0	9	6	3
2016-01-07	B467 	11	0	0	0	11	11	0
2016-01-07	B470 	11	0	0	0	11	11	0
2016-01-07	B476 	5	0	0	0	5	nop	nop
2016-01-07	B478 	1	0	0	0	1	nop	nop
2016-01-07	B490 	4	0	0	0	4	4	0
2016-01-07	B492 	53	0	0	0	53	50	3
2016-01-07	B498 	6	0	0	0	6	6	0
2016-01-07	B500 	112	17	5	1	135	127	8
2016-01-07	B501 	18	1	0	0	19	nop	nop
2016-01-07	B503 	7	0	0	0	7	nop	nop
2016-01-07	B505 	2	0	0	0	2	nop	nop
2016-01-07	B517 	96	2	0	0	98	97	1
2016-01-07	B521 	0	4	1	0	5	5	0
2016-01-07	B527 	1	0	0	0	1	1	0
2016-01-07	B540 	1	0	1	0	2	2	0
2016-01-07	B554 	8	0	0	0	8	8	0
2016-01-07	B565 	26	0	0	0	26	26	0
2016-01-07	B569 	5	0	1	0	6	6	0
2016-01-07	B591 	9	1	0	0	10	10	0
2016-01-07	*** did run ***
2016-01-08	A100 	396	100	1	2	499	502	16
2016-01-08	A125 	73	19	18	0	110	106	4
2016-01-08	A130 	8	1	0	0	9	nop	nop
2016-01-08	A131 	227	4	0	0	231	236	1
2016-01-08	A140 	0	3	1	0	4	nop	nop
2016-01-08	A168 	6	0	0	0	6	nop	nop
2016-01-08	A208 	35	25	1	0	61	61	0
2016-01-08	A241 	0	1	0	0	1	1	0
2016-01-08	A242 	1	0	0	0	1	1	0
2016-01-08	A243 	0	2	0	0	2	0	2
2016-01-08	A284 	10	0	0	0	10	nop	nop
2016-01-08	A296 	34	2	1	0	37	40	0
2016-01-08	A300 	63	5	0	0	68	68	0
2016-01-08	A310 	53	0	0	0	53	50	3
2016-01-08	A322 	6	0	0	0	6	6	0
2016-01-08	A332 	61	2	2	1	66	14	3
2016-01-08	A342 	58	25	3	1	87	86	1
2016-01-08	B400 	276	7	4	1	288	277	12
2016-01-08	B410 	46	2	0	0	48	120	2
2016-01-08	B415 	6	1	0	0	7	7	0
2016-01-08	B418 	79	2	0	0	81	81	0
2016-01-08	B420 	17	1	1	0	19	19	0
2016-01-08	B424 	2	0	0	0	2	2	0
2016-01-08	B433 	45	0	0	0	45	44	1
2016-01-08	B437 	8	8	0	0	16	14	2
2016-01-08	B452 	18	0	0	1	19	18	1
2016-01-08	B465 	8	4	0	0	12	8	4
2016-01-08	B467 	15	1	0	0	16	16	0
2016-01-08	B470 	116	4	0	0	120	120	0
2016-01-08	B476 	18	0	0	0	18	nop	nop
2016-01-08	B478 	1	0	0	0	1	nop	nop
2016-01-08	B490 	531	0	1	0	532	532	0
2016-01-08	B492 	42	0	0	0	42	42	0
2016-01-08	B498 	295	0	0	1	296	292	4
2016-01-08	B500 	187	7	0	0	194	194	0
2016-01-08	B501 	51	1	0	0	52	nop	nop
2016-01-08	B503 	3	0	0	0	3	nop	nop
2016-01-08	B517 	127	6	0	1	134	131	3
2016-01-08	B521 	4	0	0	0	4	4	0
2016-01-08	B565 	3	0	0	0	3	3	0
2016-01-08	B569 	6	0	0	0	6	6	0
2016-01-08	B591 	3	0	1	0	4	4	0
2016-01-08	*** did run ***
2016-01-11	A100 	352	34	7	0	393	393	13
2016-01-11	A125 	61	10	2	1	74	73	1
2016-01-11	A130 	11	0	0	0	11	nop	nop
2016-01-11	A131 	0	0	1	0	1	1	0
2016-01-11	A140 	6	0	0	1	7	nop	nop
2016-01-11	A192 	16	0	0	0	16	16	0
2016-01-11	A198 	0	1	0	2	3	1	2
2016-01-11	A208 	27	1	8	0	36	36	0
2016-01-11	A246 	1	0	0	1	2	1	1
2016-01-11	A310 	7	0	0	0	7	7	0
2016-01-11	A322 	3	2	1	0	6	6	0
2016-01-11	A332 	20	5	8	2	35	10	3
2016-01-11	A334 	3	0	0	0	3	3	0
2016-01-11	A351 	3	1	0	0	4	4	0
2016-01-11	A366 	1	2	0	0	3	3	0
2016-01-11	B400 	269	3	0	0	272	267	5
2016-01-11	B410 	42	3	0	1	46	70	3
2016-01-11	B418 	8	0	0	0	8	8	0
2016-01-11	B420 	14	5	0	0	19	19	0
2016-01-11	B425 	5	0	0	0	5	5	0
2016-01-11	B430 	2	0	1	0	3	3	0
2016-01-11	B433 	22	0	0	0	22	22	0
2016-01-11	B437 	22	0	1	0	23	23	0
2016-01-11	B452 	8	0	0	0	8	7	1
2016-01-11	B465 	7	0	0	0	7	7	0
2016-01-11	B467 	2	0	0	0	2	2	0
2016-01-11	B470 	70	0	0	0	70	70	0
2016-01-11	B478 	4	0	0	0	4	nop	nop
2016-01-11	B488 	1	0	0	0	1	nop	nop
2016-01-11	B490 	28	1	0	0	29	29	0
2016-01-11	B492 	34	0	0	0	34	33	1
2016-01-11	B498 	8	0	0	0	8	8	0
2016-01-11	B500 	130	3	1	0	134	125	9
2016-01-11	B501 	10	0	0	0	10	nop	nop
2016-01-11	B503 	6	0	0	0	6	nop	nop
2016-01-11	B505 	5	0	0	0	5	nop	nop
2016-01-11	B507 	6	0	0	0	6	6	0
2016-01-11	B517 	88	5	0	0	93	90	3
2016-01-11	B521 	2	2	0	0	4	2	2
2016-01-11	B540 	0	0	0	1	1	0	1
2016-01-11	B565 	11	0	0	0	11	11	0
2016-01-11	B569 	0	0	2	0	2	2	0
2016-01-11	B571 	1	2	0	0	3	3	0
2016-01-11	B581 	4	0	0	0	4	4	0
2016-01-11	B591 	13	0	0	0	13	13	0
2016-01-11	*** did run ***
2016-01-12	A100 	725	24	12	2	763	702	75
2016-01-12	A125 	120	2	0	0	122	107	15
2016-01-12	A130 	14	0	0	0	14	nop	nop
2016-01-12	A131 	4	3	0	0	7	9	0
2016-01-12	A140 	2	2	0	0	4	nop	nop
2016-01-12	A160 	9	3	2	0	14	nop	nop
2016-01-12	A168 	2	0	0	0	2	nop	nop
2016-01-12	A192 	11	0	0	0	11	11	0
2016-01-12	A198 	33	0	0	0	33	33	0
2016-01-12	A208 	54	25	0	0	79	79	0
2016-01-12	A241 	3	0	0	0	3	3	0
2016-01-12	A242 	12	0	0	0	12	12	0
2016-01-12	A246 	27	1	3	0	31	31	0
2016-01-12	A284 	1	0	1	0	2	nop	nop
2016-01-12	A296 	4	1	1	2	8	6	2
2016-01-12	A300 	30	12	0	0	42	42	0
2016-01-12	A310 	3	0	0	0	3	3	0
2016-01-12	A332 	122	50	0	8	180	57	3
2016-01-12	A334 	141	1	0	0	142	146	0
2016-01-12	A342 	96	13	1	0	110	108	2
2016-01-12	A351 	33	2	0	0	35	35	0
2016-01-12	A366 	5	1	0	0	6	6	0
2016-01-12	B400 	540	11	5	2	558	541	17
2016-01-12	B410 	63	1	1	0	65	105	11
2016-01-12	B415 	13	0	0	0	13	13	0
2016-01-12	B418 	1	0	1	0	2	2	0
2016-01-12	B420 	34	4	0	0	38	22	16
2016-01-12	B425 	643	0	1	0	644	571	73
2016-01-12	B430 	87	1	0	0	88	79	9
2016-01-12	B433 	20	1	0	0	21	21	0
2016-01-12	B437 	33	5	0	0	38	38	0
2016-01-12	B452 	37	0	1	0	38	38	0
2016-01-12	B465 	26	4	1	0	31	30	1
2016-01-12	B467 	4	0	0	0	4	4	0
2016-01-12	B470 	30	2	0	0	32	27	5
2016-01-12	B476 	15	1	0	0	16	nop	nop
2016-01-12	B478 	6	0	0	0	6	nop	nop
2016-01-12	B490 	84	0	0	0	84	84	0
2016-01-12	B492 	90	0	1	0	91	89	2
